EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,5e-09,0.01
Date/Time Start,2019-04-12 09:04:38.980061
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,8.0,775,1.0,775,0.0104691326364,0.0,775
1,11.0,1558,1.0,1558,0.0113974659616,0.0,1558
2,11.0,2377,1.0,2377,0.0102610988682,0.0,2377
3,3.0,2758,1.0,2758,0.0135023176354,0.0,2758
4,6.0,3379,1.0,3379,0.012141023097,0.0,3379
5,8.0,4143,1.0,4143,0.0103388697914,0.0,4143
6,13.0,5065,0.9999415000000019,5065,0.0105425353811,0.000661027601465,5065
7,4.0,5445,0.9995995000000132,5445,0.0132522823387,0.00872380850855,5445
8,4.0,5841,0.9992431000000249,5841,0.0124938446903,0.00871033668183,5841
9,11.0,6670,0.9984970000000495,6670,0.0102097892246,0.00818398564664,6670
10,10.0,7448,0.9977968000000725,7448,0.0108491073809,0.00865521810839,7448
11,4.0,7835,0.997448500000084,7835,0.0131819042908,0.00864710628045,7835
12,14.0,8766,0.9966106000001116,8766,0.0109411497499,0.00904711608004,8766
13,9.0,9549,0.9959059000001348,9549,0.00960924685342,0.00898992022741,9549
14,7.0,10323,0.9952093000001577,10323,0.0110736637446,0.00793370671232,10323
15,5.0,10711,0.9948601000001692,10711,0.0134613800222,0.0056787510488,10711
16,8.0,11504,0.9941464000001927,11504,0.0104005918357,0.00621340597535,11504
17,11.0,12320,0.9934120000002169,12320,0.00937316049694,0.00742708037374,12320
18,9.0,13099,0.99271090000024,13099,0.0105061485473,0.00649774606854,13099
19,8.0,13878,0.9920098000002631,13878,0.0107008834705,0.00716862538356,13878
20,9.0,14679,0.9912889000002868,14679,0.00966965604629,0.00619091591385,14679
21,8.0,15446,0.9905986000003095,15446,0.0115392881699,0.0062424073715,15446
22,5.0,15829,0.9902539000003209,15829,0.0130704102721,0.00713525137055,15829
