EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-09,0.01
Date/Time Start,2019-03-27 15:20:59.161863
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,5.0,416,1.0,416,0.0423257800419,0.0,416
1,6.0,1055,0.9999505000000016,1055,0.0373520758615,0.000547956845086,1055
2,12.0,1887,0.9992017000000263,1887,0.030834839128,0.00579433270839,1887
3,5.0,2255,0.9988705000000372,2255,0.0400586042518,0.00704960139663,2255
4,8.0,3061,0.9981451000000611,3061,0.0341412151318,0.00662067986678,3061
5,6.0,3688,0.9975808000000796,3688,0.0355675619918,0.00734394023808,3688
6,9.0,4492,0.9968572000001035,4492,0.0360128296729,0.00717720981412,4492
7,10.0,5269,0.9961579000001265,5269,0.0313212971905,0.00658618247762,5269
8,9.0,6052,0.9954532000001497,6052,0.0331825170111,0.0064565506201,6052
9,10.0,6859,0.9947269000001736,6859,0.0351597090573,0.00659202939116,6859
10,8.0,7645,0.9940195000001969,7645,0.0332821751382,0.00659484517969,7645
11,11.0,8488,0.9932608000002219,8488,0.028163881989,0.00617441948305,8488
12,10.0,9286,0.9925426000002455,9286,0.0350866844845,0.00669195189561,9286
13,9.0,10062,0.9918442000002685,10062,0.0300928272593,0.00631552338956,10062
14,4.0,10460,0.9914860000002803,10460,0.0417702151205,0.00659526063517,10460
15,6.0,11072,0.9909352000002984,11072,0.0368287473479,0.00589572269965,11072
16,3.0,11443,0.9906013000003094,11443,0.0395865318594,0.007418843628,11443
17,9.0,12232,0.9898912000003328,12232,0.0322100454735,0.00669126394328,12232
18,5.0,12629,0.9895339000003446,12629,0.0433245547167,0.00672904545103,12629
19,6.0,13383,0.9888553000003669,13383,0.0350723868725,0.00685572540709,13383
20,9.0,14154,0.9881614000003898,14154,0.0348034291697,0.00645039118784,14154
21,9.0,14928,0.9874648000004127,14928,0.0349264930902,0.0066337854378,14928
22,9.0,15695,0.9867745000004354,15695,0.0347118073652,0.00679065314282,15695
23,9.0,16501,0.9860491000004593,16501,0.0290563606539,0.0070704174145,16501
24,9.0,17294,0.9853354000004828,17294,0.0338657734326,0.00652715126215,17294
25,3.0,17659,0.9850069000004936,17659,0.0431616098556,0.00673265897052,17659
26,5.0,18070,0.9846370000005058,18070,0.0412499410171,0.00516707022654,18070
27,6.0,18699,0.9840709000005244,18699,0.0366867671903,0.0063961910059,18699
28,6.0,19333,0.9835003000005432,19333,0.0363092551739,0.00583018962851,19333
29,3.0,19736,0.9831376000005552,19736,0.0415438674575,0.00699448212678,19736
30,5.0,20151,0.9827641000005675,20151,0.0435201022976,0.00651776896452,20151
31,8.0,20939,0.9820549000005908,20939,0.0357692102827,0.00572737349763,20939
32,7.0,21578,0.9814798000006097,21578,0.0379297304578,0.00615089671015,21578
33,6.0,22210,0.9809110000006285,22210,0.0370596685208,0.00647990463772,22210
34,6.0,22853,0.9803323000006475,22853,0.0339354081565,0.00559163691436,22853
35,9.0,23633,0.9796303000006706,23633,0.0333781175978,0.00583066278294,23633
36,6.0,24280,0.9790480000006898,24280,0.0378705683449,0.00615115271997,24280
37,6.0,24914,0.9784774000007086,24914,0.0372566184152,0.00625720496866,24914
38,6.0,25568,0.977888800000728,25568,0.0372574388047,0.00602335644447,25568
39,6.0,26184,0.9773344000007462,26184,0.0366033530709,0.00550239382867,26184
40,6.0,26846,0.9767386000007658,26846,0.0379232565712,0.00635467486348,26846
41,9.0,27626,0.976036600000789,27626,0.0320698387336,0.00591617105441,27626
42,8.0,28391,0.9753481000008116,28391,0.0366193979406,0.00643137230614,28391
43,11.0,29215,0.974606500000836,29215,0.0344922437425,0.00615791644278,29215
44,10.0,30046,0.9738586000008607,30046,0.0340876608485,0.00638707680945,30046
45,7.0,30684,0.9732844000008796,30684,0.0380188129962,0.00616971626194,30684
46,12.0,31531,0.9725221000009047,31531,0.031713471887,0.00584264975467,31531
47,11.0,32314,0.9718174000009279,32314,0.0322985891687,0.00665756331805,32314
48,10.0,33104,0.9711064000009513,33104,0.0281248132993,0.0064286049868,33104
49,6.0,33506,0.9707446000009632,33506,0.0438879574533,0.00608764648774,33506
50,6.0,34146,0.9701686000009822,34146,0.0359153582664,0.00606664895158,34146
51,2.0,34511,0.969840100000993,34511,0.0380588609649,0.00530564509163,34511
52,6.0,35128,0.9692848000010112,35128,0.0372000898852,0.00581241607762,35128
53,5.0,35527,0.9689257000010231,35527,0.0423798865678,0.00633973311733,35527
54,6.0,36150,0.9683650000010415,36150,0.0374813652515,0.00584244922253,36150
55,19.0,37604,0.9670564000010846,37604,0.0290416302297,0.00651899076502,37604
56,6.0,38011,0.9666901000010967,38011,0.0433612621804,0.00642499538215,38011
57,6.0,38618,0.9661438000011147,38618,0.0372739735058,0.00589723569043,38618
58,6.0,39256,0.9655696000011336,39256,0.0377645170664,0.0068966816684,39256
59,9.0,40062,0.9648442000011574,40062,0.0312254206415,0.0062145450501,40062
60,6.0,40710,0.9642610000011766,40710,0.0375958061906,0.00627957785625,40710
61,6.0,41337,0.9636967000011952,41337,0.0374577696609,0.0064767672995,41337
62,13.0,42178,0.9629398000012201,42178,0.0297717002611,0.00662763918322,42178
63,6.0,42588,0.9625708000012323,42588,0.0437602345741,0.00601043202123,42588
64,9.0,43363,0.9618733000012553,43363,0.0343450544931,0.00661500199623,43363
65,12.0,44188,0.9611308000012797,44188,0.0339366067511,0.00653186519519,44188
66,6.0,44842,0.9605422000012991,44842,0.0364267213472,0.00655033090693,44842
67,6.0,45486,0.9599626000013182,45486,0.0380863594253,0.0062405220568,45486
68,11.0,46322,0.9592102000013429,46322,0.0279396279201,0.0063952751569,46322
69,11.0,47153,0.9584623000013676,47153,0.0319454199298,0.00600736373481,47153
70,10.0,47935,0.9577585000013907,47935,0.0332972221392,0.00675639781736,47935
71,10.0,48735,0.9570385000014144,48735,0.0338111074764,0.00640065777581,48735
72,3.0,49116,0.9566956000014257,49116,0.0415908880923,0.00591183253459,49116
73,6.0,49743,0.9561313000014443,49743,0.0365361426088,0.00590926328242,49743
74,6.0,50398,0.9555418000014637,50398,0.0382299154528,0.0067243526163,50398
75,9.0,51182,0.954836200001487,51182,0.0367361967641,0.00638091445419,51182
76,11.0,52000,0.9541000000015112,52000,0.0312106282852,0.00607930426927,52000
