Date/Time Start,2019-03-15 09:10:32.389571
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,2.0,182,1.0,182,0.015397720095179566,0.0,182
1,1.0,315,1.0,315,0.015104715509298152,0.0,315
2,9.0,802,1.0,802,0.017993426791849322,0.0,802
3,3.0,1027,0.9999757000000008,1027,0.014488028453456031,0.001062557774437462,1027
4,3.0,1285,0.9997435000000084,1285,0.05123170966990003,0.0073670023679750195,1285
5,4.0,1546,0.9995086000000162,1546,0.04437171791990598,0.007572585688576092,1546
6,4.0,1816,0.9992656000000242,1816,0.05346377682354715,0.007773732169193358,1816
7,2.0,1999,0.9991009000000296,1999,0.04515739110975318,0.007021324816308604,1999
8,0.0,2111,0.9990001000000329,2111,0.040000580583832095,0.005962174937654449,2111
9,0.0,2209,0.9989119000000358,2209,0.039665731639430234,0.005555402400539012,2209
